U+2A6D7	𪛗
U+2A6D8	𪛘
U+2A6D9	𪛙
U+2A6DA	𪛚
U+2A6DB	𪛛
U+2A6DC	𪛜
U+2A6DD	𪛝
U+2A6DE	𪛞
U+2A6DF	𪛟
U+2B735	𫜵
U+2B736	𫜶
U+2B737	𫜷
U+2B738	𫜸
U+2B739	𫜹
U+30000	𰀀
U+30001	𰀁
U+30002	𰀂
U+30003	𰀃
U+30004	𰀄
U+30005	𰀅
U+30006	𰀆
U+30007	𰀇
U+30008	𰀈
U+30009	𰀉
U+3000A	𰀊
U+3000B	𰀋
U+3000C	𰀌
U+3000D	𰀍
U+3000E	𰀎
U+3000F	𰀏
U+30010	𰀐
U+30011	𰀑
U+30012	𰀒
U+30013	𰀓
U+30014	𰀔
U+30015	𰀕
U+30016	𰀖
U+30017	𰀗
U+30018	𰀘
U+30019	𰀙
U+3001A	𰀚
U+3001B	𰀛
U+3001C	𰀜
U+3001D	𰀝
U+3001E	𰀞
U+3001F	𰀟
U+30020	𰀠
U+30021	𰀡
U+30022	𰀢
U+30023	𰀣
U+30024	𰀤
U+30025	𰀥
U+30026	𰀦
U+30027	𰀧
U+30028	𰀨
U+30029	𰀩
U+3002A	𰀪
U+3002B	𰀫
U+3002C	𰀬
U+3002D	𰀭
U+3002E	𰀮
U+3002F	𰀯
U+30030	𰀰
U+30031	𰀱
U+30032	𰀲
U+30033	𰀳
U+30034	𰀴
U+30035	𰀵
U+30036	𰀶
U+30037	𰀷
U+30038	𰀸
U+30039	𰀹
U+3003A	𰀺
U+3003B	𰀻
U+3003C	𰀼
U+3003D	𰀽
U+3003E	𰀾
U+3003F	𰀿
U+30040	𰁀
U+30047	𰁇
U+30048	𰁈
U+3004A	𰁊
U+3004B	𰁋
U+30051	𰁑
U+30052	𰁒
U+30053	𰁓
U+30054	𰁔
U+30055	𰁕
U+30056	𰁖
U+30057	𰁗
U+30058	𰁘
U+3005A	𰁚
U+3005B	𰁛
U+3005C	𰁜
U+3005E	𰁞
U+3005F	𰁟
U+30060	𰁠
U+30061	𰁡
U+30062	𰁢
U+30063	𰁣
U+30065	𰁥
U+30066	𰁦
U+30067	𰁧
U+30068	𰁨
U+30069	𰁩
U+3006A	𰁪
U+3006B	𰁫
U+3006C	𰁬
U+3006D	𰁭
U+3006E	𰁮
U+3006F	𰁯
U+30070	𰁰
U+30072	𰁲
U+30073	𰁳
U+30074	𰁴
U+30077	𰁷
U+30078	𰁸
U+30079	𰁹
U+3007C	𰁼
U+3007D	𰁽
U+3007E	𰁾
U+30080	𰂀
U+30081	𰂁
U+30082	𰂂
U+30083	𰂃
U+30085	𰂅
U+30086	𰂆
U+30087	𰂇
U+30089	𰂉
U+3008A	𰂊
U+3008B	𰂋
U+3008C	𰂌
U+3008E	𰂎
U+3008F	𰂏
U+30090	𰂐
U+30091	𰂑
U+30093	𰂓
U+30094	𰂔
U+30096	𰂖
U+30097	𰂗
U+30099	𰂙
U+3009C	𰂜
U+3009E	𰂞
U+3009F	𰂟
U+300A0	𰂠
U+300A4	𰂤
U+300A5	𰂥
U+300A6	𰂦
U+300A8	𰂨
U+300A9	𰂩
U+300AA	𰂪
U+300AC	𰂬
U+300AD	𰂭
U+300B0	𰂰
U+300B1	𰂱
U+300B2	𰂲
U+300B3	𰂳
U+300B4	𰂴
U+300B5	𰂵
U+300B6	𰂶
U+300B9	𰂹
U+300BA	𰂺
U+300BB	𰂻
U+300BD	𰂽
U+300BF	𰂿
U+300C0	𰃀
U+300C1	𰃁
U+300C4	𰃄
U+300C6	𰃆
U+300C7	𰃇
U+300C8	𰃈
U+300CC	𰃌
U+300D0	𰃐
U+300D1	𰃑
U+300D2	𰃒
U+300D3	𰃓
U+300D4	𰃔
U+300D5	𰃕
U+300D6	𰃖
U+300D7	𰃗
U+300D8	𰃘
U+300D9	𰃙
U+300DA	𰃚
U+300DB	𰃛
U+300DC	𰃜
U+300DD	𰃝
U+300DF	𰃟
U+300E1	𰃡
U+300E2	𰃢
U+300E3	𰃣
U+300E4	𰃤
U+300E5	𰃥
U+300E6	𰃦
U+300E7	𰃧
U+300E8	𰃨
U+300E9	𰃩
U+300EA	𰃪
U+300EB	𰃫
U+300EC	𰃬
U+300EE	𰃮
U+300F0	𰃰
U+300F1	𰃱
U+300F2	𰃲
U+300F3	𰃳
U+300F4	𰃴
U+300F5	𰃵
U+300F6	𰃶
U+300F7	𰃷
U+300F8	𰃸
U+300F9	𰃹
U+300FA	𰃺
U+300FB	𰃻
U+300FC	𰃼
U+300FD	𰃽
U+300FE	𰃾
U+300FF	𰃿
U+30100	𰄀
U+30101	𰄁
U+30102	𰄂
U+30103	𰄃
U+30104	𰄄
U+30105	𰄅
U+30106	𰄆
U+30108	𰄈
U+30109	𰄉
U+3010A	𰄊
U+3010C	𰄌
U+3010D	𰄍
U+3010E	𰄎
U+3010F	𰄏
U+30110	𰄐
U+30111	𰄑
U+30112	𰄒
U+30113	𰄓
U+30114	𰄔
U+30115	𰄕
U+30116	𰄖
U+30117	𰄗
U+30118	𰄘
U+30119	𰄙
U+3011A	𰄚
U+3011B	𰄛
U+3011C	𰄜
U+3011D	𰄝
U+3011E	𰄞
U+3011F	𰄟
U+30120	𰄠
U+30122	𰄢
U+30123	𰄣
U+30124	𰄤
U+30125	𰄥
U+30126	𰄦
U+30127	𰄧
U+30129	𰄩
U+3012A	𰄪
U+3012B	𰄫
U+3012C	𰄬
U+3012D	𰄭
U+3012E	𰄮
U+3012F	𰄯
U+30130	𰄰
U+30131	𰄱
U+30132	𰄲
U+30134	𰄴
U+30136	𰄶
U+30137	𰄷
U+30138	𰄸
U+30139	𰄹
U+3013A	𰄺
U+3013B	𰄻
U+3013D	𰄽
U+3013E	𰄾
U+3013F	𰄿
U+30140	𰅀
U+30141	𰅁
U+30142	𰅂
U+30143	𰅃
U+30147	𰅇
U+30149	𰅉
U+3014A	𰅊
U+3014B	𰅋
U+3014C	𰅌
U+3014D	𰅍
U+3014E	𰅎
U+30151	𰅑
U+30153	𰅓
U+30154	𰅔
U+30155	𰅕
U+30156	𰅖
U+30157	𰅗
U+30159	𰅙
U+3015C	𰅜
U+3015D	𰅝
U+30160	𰅠
U+30161	𰅡
U+30164	𰅤
U+30165	𰅥
U+30166	𰅦
U+30167	𰅧
U+30168	𰅨
U+3016D	𰅭
U+3016E	𰅮
U+3016F	𰅯
U+30170	𰅰
U+30171	𰅱
U+30172	𰅲
U+30173	𰅳
U+30174	𰅴
U+30175	𰅵
U+30178	𰅸
U+30179	𰅹
U+3017A	𰅺
U+3017B	𰅻
U+3017C	𰅼
U+3017D	𰅽
U+3017E	𰅾
U+3017F	𰅿
U+30180	𰆀
U+30181	𰆁
U+30182	𰆂
U+30184	𰆄
U+30189	𰆉
U+3018A	𰆊
U+3018B	𰆋
U+3018D	𰆍
U+30194	𰆔
U+30195	𰆕
U+30196	𰆖
U+30197	𰆗
U+30198	𰆘
U+30199	𰆙
U+3019A	𰆚
U+3019B	𰆛
U+3019C	𰆜
U+301A0	𰆠
U+301A4	𰆤
U+301A5	𰆥
U+301A7	𰆧
U+301AB	𰆫
U+301AC	𰆬
U+301AE	𰆮
U+301AF	𰆯
U+301B0	𰆰
U+301B1	𰆱
U+301B2	𰆲
U+301B3	𰆳
U+301B4	𰆴
U+301B5	𰆵
U+301B6	𰆶
U+301B8	𰆸
U+301B9	𰆹
U+301BA	𰆺
U+301BB	𰆻
U+301BC	𰆼
U+301BD	𰆽
U+301BE	𰆾
U+301BF	𰆿
U+301C0	𰇀
U+301C1	𰇁
U+301C2	𰇂
U+301C4	𰇄
U+301C5	𰇅
U+301C6	𰇆
U+301C7	𰇇
U+301C8	𰇈
U+301C9	𰇉
U+301CA	𰇊
U+301CB	𰇋
U+301CD	𰇍
U+301CE	𰇎
U+301CF	𰇏
U+301D0	𰇐
U+301D1	𰇑
U+301D2	𰇒
U+301D3	𰇓
U+301D5	𰇕
U+301D6	𰇖
U+301D7	𰇗
U+301D8	𰇘
U+301DA	𰇚
U+301DB	𰇛
U+301DC	𰇜
U+301DD	𰇝
U+301DE	𰇞
U+301E0	𰇠
U+301E1	𰇡
U+301E2	𰇢
U+301E3	𰇣
U+301E5	𰇥
U+301E7	𰇧
U+301E9	𰇩
U+301EA	𰇪
U+301EB	𰇫
U+301EC	𰇬
U+301ED	𰇭
U+301EE	𰇮
U+301EF	𰇯
U+301F0	𰇰
U+301F1	𰇱
U+301F2	𰇲
U+301F3	𰇳
U+301F4	𰇴
U+301F5	𰇵
U+301F6	𰇶
U+301F7	𰇷
U+301F8	𰇸
U+301F9	𰇹
U+301FB	𰇻
U+301FC	𰇼
U+301FD	𰇽
U+30201	𰈁
U+30202	𰈂
U+30203	𰈃
U+30204	𰈄
U+30206	𰈆
U+30207	𰈇
U+30208	𰈈
U+30209	𰈉
U+3020A	𰈊
U+3020B	𰈋
U+3020D	𰈍
U+3020E	𰈎
U+3020F	𰈏
U+30210	𰈐
U+30212	𰈒
U+30213	𰈓
U+30214	𰈔
U+30218	𰈘
U+30219	𰈙
U+3021A	𰈚
U+3021C	𰈜
U+3021D	𰈝
U+3021E	𰈞
U+3021F	𰈟
U+30221	𰈡
U+30222	𰈢
U+30223	𰈣
U+30224	𰈤
U+30225	𰈥
U+30226	𰈦
U+30227	𰈧
U+30228	𰈨
U+30229	𰈩
U+3022A	𰈪
U+3022C	𰈬
U+3022D	𰈭
U+3022E	𰈮
U+3022F	𰈯
U+30230	𰈰
U+30231	𰈱
U+30232	𰈲
U+30236	𰈶
